REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14HAB,AC_WIDTH,AC_HEIGHT,SPRAG14RCH,ACW,ACH,MaskWidth
19425,30.08821,52.666,357,0,0,5,5.5,0.6,0
19426,30.46563,52.6652,358,0,0,5,5.5,0.6,0
19427,30.02262,52.6621,361,0,0,5,5.5,0.6,0
19428,29.39122,52.6595,361,0,0,5,5.5,0.6,0
19429,29.97915,52.6437,364,0,0,5,5.5,0.6,0
19430,30.45137,52.6237,366,5.5,0.4,5,5.5,0.6,0
19431,29.77582,52.6082,366,5.5,0.4,5,5.5,0.6,0
19432,29.46165,52.5769,366,5.5,0.4,5,5.5,0.6,0
19433,29.80004,52.5724,366,5.5,0.4,5,5.5,0.6,0
19434,30.74851,52.5569,367,0,0,5,5.5,0.6,0
19435,29.54136,52.5491,368,0,0,5,5.5,0.6,0
19436,29.03254,52.5437,368,0,0,5,5.5,0.6,0
19437,30.27332,52.5291,369,0,0,5,5.5,0.6,0
19438,30.81881,52.5265,369,0,0,5,5.5,0.6,0
19439,30.24794,52.5237,371,0,0,5,5.5,0.6,0
19440,30.48962,52.5156,373,0,0,5,5.5,0.6,0
19441,30.43613,52.5114,374,0,0,5,5.5,0.6,0
19442,30.61006,52.5062,377,0,0,5,5.5,0.6,0
19443,29.07815,52.4972,378,0,0,5,5.5,0.6,0
19444,29.73269,52.4889,381,0,0,6,7.4000001,0.5,0
19445,29.3241,52.4806,383,0,0,6,7.4000001,0.5,0
19446,30.22927,52.4662,385,0,0,6,7.4000001,0.5,0
19447,29.13924,52.4607,386,7,0.4,6,7.4000001,0.5,0
19448,30.85521,52.4351,386,7,0.4,6,7.4000001,0.5,0
19449,29.81738,52.4223,389,0,0,6,7.4000001,0.5,0
19450,29.2961,52.4086,389,0,0,6,7.4000001,0.5,0
19451,29.37782,52.396,389,0,0,6,7.4000001,0.5,0
19452,29.52635,52.3642,390,0,0,6,7.4000001,0.5,0
19453,30.04193,52.3387,390,0,0,6,7.4000001,0.5,0
19454,30.64838,52.3332,391,0,0,6,7.4000001,0.5,0
19455,31.02209,52.3226,391,0,0,6,7.4000001,0.5,0
19456,30.53351,52.3099,391,0,0,6,7.4000001,0.5,0
19457,30.15985,52.2933,391,0,0,6,7.4000001,0.5,0
19458,30.85465,52.2791,391,0,0,6,7.4000001,0.5,0
19459,30.91348,52.2415,393,0,0,6,7.4000001,0.5,0
19460,30.49301,52.2081,393,0,0,6,7.4000001,0.5,0
19461,30.00874,52.1933,395,0,0,6,7.4000001,0.5,0
19462,29.39274,52.1809,397,0,0,6,7.4000001,0.5,0
19463,30.39906,52.1035,398,0,0,6,7.4000001,0.5,0
19464,30.15959,52.0589,398,0,0,6,7.4000001,0.5,0
19465,30.87013,52.0482,398,0,0,6,7.4000001,0.5,0
19466,29.46951,52.0422,399,0,0,6,7.4000001,0.5,0
19467,30.25006,52.0309,399,0,0,6,7.4000001,0.5,0
19468,29.37666,52.0232,399,0,0,6,7.4000001,0.5,0
19469,30.77351,51.9962,400,0,0,6,7.4000001,0.5,0
19470,29.00923,51.9586,400,0,0,6,7.4000001,0.5,0
19471,29.90084,51.8977,400,0,0,6,7.4000001,0.5,0
19472,29.6408,51.8768,402,0,0,6,7.4000001,0.5,0
19473,30.69601,51.5436,403,0,0,6,7.4000001,0.5,0
19474,31.18628,51.5333,403,0,0,6,7.4000001,0.5,0
19475,29.93968,51.5204,404,0,0,6,7.4000001,0.5,0
19476,29.47186,51.5098,404,0,0,6,7.4000001,0.5,0
19477,29.00201,51.4967,406,8,0.6,6,7.4000001,0.5,0
19478,29.68272,51.4414,406,8,0.6,6,7.4000001,0.5,0
19479,29.75581,51.4333,406,8,0.6,6,7.4000001,0.5,0
19480,30.1762,51.4261,408,0,0,6,7.4000001,0.5,0
19481,29.01997,51.3662,409,0,0,6,7.4000001,0.5,0
19482,30.87777,51.3591,409,0,0,6,7.4000001,0.5,0
19483,29.60753,51.3467,410,0,0,6,7.4000001,0.5,0
19484,30.69462,51.3353,411,0,0,6,7.4000001,0.5,0
19485,30.5999,51.3137,411,0,0,6,7.4000001,0.5,0
19486,30.90822,51.2941,411,0,0,6,7.4000001,0.5,0
19487,29.15032,51.2767,412,0,0,6,7.4000001,0.5,0
19488,28.89647,51.2561,412,0,0,6,7.4000001,0.5,0
19489,29.80571,51.2291,413,0,0,6,7.4000001,0.5,0
19490,29.45882,51.1881,414,0,0,6,7.4000001,0.5,0
